"filename", "language", "pip requirements", "PostCSS", "JavaScript", "HTML", "Python", "comment", "blank", "total"
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\prog_forma\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\prog_forma\models.py", "Python", 0, 0, 0, 0, 14, 1, 4, 19
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\prog_forma\serializers.py", "Python", 0, 0, 0, 0, 9, 1, 3, 13
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\prog_forma\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\prog_forma\urls.py", "Python", 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\prog_forma\views.py", "Python", 0, 0, 0, 0, 152, 22, 22, 196
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\seguridad\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\seguridad\admin.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\seguridad\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\seguridad\decorators.py", "Python", 0, 0, 0, 0, 41, 7, 4, 52
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\seguridad\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 23, 1, 7, 31
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\seguridad\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\Desktop\PROYECTO COMPLETO\BACK-END\backend\seguridad\models.py", "Python", 0, 0, 0, 0, 11, 1, 6, 18
